date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,final_outcome,home_form_scored,home_form_conceded,home_class_scored,home_class_conceded,away_form_scored,away_form_conceded,away_class_scored,away_class_conceded,target,nn_prob_away_win,nn_prob_draw,nn_prob_home_win,xgb_prob_home_win,xgb_prob_draw,xgb_prob_away_win,home_group,away_group
2026-06-21,Uruguay,Cape Verde,,,FIFA World Cup,Miami Gardens,United States,True,,1.0,1.4,0.85,0.9,1.4,1.2,1.25,0.95,,0.36780503,0.3082524,0.32394257,0.13882053,0.35218236,0.5089971,Group H,Group H
2026-06-22,France,Iraq,,,FIFA World Cup,Philadelphia,United States,True,,2.8,0.8,2.0,1.0,1.2,1.0,1.0,0.95,,0.16562672,0.21039778,0.62397546,0.7222058,0.1631062,0.11468805,Group I,Group I
2026-06-22,Norway,Senegal,,,FIFA World Cup,East Rutherford,United States,True,,2.0,1.0,2.95,0.9,1.4,0.8,2.35,0.6,,0.30279782,0.17215285,0.5250493,0.40215728,0.29369074,0.30415195,Group I,Group I
2026-06-22,Argentina,Austria,,,FIFA World Cup,Arlington,United States,True,,2.2,0.4,2.0,0.5,1.8,0.6,2.35,0.85,,0.24530126,0.20938887,0.5453099,0.6699715,0.14040266,0.18962584,Group J,Group J
2026-06-22,Jordan,Algeria,,,FIFA World Cup,Santa Clara,United States,True,,1.6,1.4,1.65,1.3,2.2,0.6,2.15,0.6,,0.47247708,0.2849309,0.24259193,0.20484367,0.2695479,0.5256084,Group J,Group J
2026-06-23,Colombia,DR Congo,,,FIFA World Cup,Zapopan,Mexico,True,,1.4,1.2,1.7,1.1,1.4,0.4,1.45,0.55,,0.36898515,0.2830108,0.3480042,0.31876332,0.31957132,0.3616654,Group K,Group K
2026-06-23,Portugal,Uzbekistan,,,FIFA World Cup,Houston,United States,True,,2.4,1.0,2.1,1.0,1.4,0.6,1.35,0.65,,0.26535586,0.24008244,0.4945616,0.48820245,0.23226175,0.2795358,Group K,Group K
2026-06-23,Panama,Croatia,,,FIFA World Cup,Toronto,Canada,True,,1.2,2.0,1.7,1.3,2.4,1.4,2.1,1.05,,0.42063966,0.271783,0.30757734,0.31400266,0.3273985,0.35859886,Group L,Group L
2026-06-23,England,Ghana,,,FIFA World Cup,Foxborough,United States,True,,2.6,0.2,2.35,0.55,0.4,2.4,1.5,1.25,,0.111260995,0.1379139,0.75082505,0.8543721,0.100627996,0.044999953,Group L,Group L
2026-06-24,Mexico,Czech Republic,,,FIFA World Cup,Mexico City,Mexico,False,,1.6,0.2,1.3,0.85,2.4,1.2,1.75,1.2,,0.274186,0.26869613,0.4571179,0.48976806,0.25243646,0.25779554,Group A,Group A
2026-06-24,South Africa,South Korea,,,FIFA World Cup,Guadalupe,Mexico,True,,1.2,1.6,1.8,0.85,1.6,1.0,1.75,0.95,,0.30928144,0.2699088,0.42080975,0.30703503,0.32894102,0.36402398,Group A,Group A
2026-06-24,Canada,Switzerland,,,FIFA World Cup,Vancouver,Canada,False,,0.8,0.4,1.5,0.55,1.6,1.2,1.9,1.25,,0.24168915,0.24412774,0.51418316,0.56349564,0.2323957,0.20410866,Group B,Group B
2026-06-24,Bosnia and Herzegovina,Qatar,,,FIFA World Cup,Seattle,United States,True,,2.0,1.0,1.4,1.65,0.8,1.6,1.3,1.95,,0.16817307,0.20751329,0.6243136,0.57816577,0.21365844,0.20817575,Group B,Group B
2026-06-24,Scotland,Brazil,,,FIFA World Cup,Miami Gardens,United States,True,,1.6,1.6,1.35,1.25,1.8,1.4,1.55,0.9,,0.38286456,0.28591913,0.3312163,0.2626138,0.23834628,0.49903995,Group C,Group C
2026-06-24,Morocco,Haiti,,,FIFA World Cup,Atlanta,United States,True,,2.2,0.4,1.9,0.3,0.8,1.0,2.5,1.1,,0.16830839,0.15137675,0.6803148,0.61305416,0.15635791,0.23058793,Group C,Group C
2026-06-25,Curaçao,Ivory Coast,,,FIFA World Cup,Philadelphia,United States,True,,1.8,1.6,2.0,0.95,2.6,1.2,1.85,0.55,,0.37195134,0.27255163,0.35549703,0.5074074,0.16795407,0.3246385,Group E,Group E
2026-06-25,United States,Turkey,,,FIFA World Cup,Inglewood,United States,False,,2.2,2.0,1.75,1.45,2.0,0.6,1.95,1.2,,0.33065313,0.25996244,0.40938443,0.40420586,0.2586639,0.33713025,Group D,Group D
2026-06-25,Paraguay,Australia,,,FIFA World Cup,Santa Clara,United States,True,,1.2,1.4,1.1,1.1,1.4,1.4,1.75,0.75,,0.4143547,0.3071098,0.2785355,0.27379116,0.3389239,0.38728496,Group D,Group D
2026-06-25,Japan,Sweden,,,FIFA World Cup,Arlington,United States,True,,2.0,0.4,2.6,0.45,1.6,1.8,2.05,1.45,,0.15414181,0.15105619,0.69480205,0.77857816,0.1175626,0.103859305,Group F,Group F
2026-06-25,Tunisia,Netherlands,,,FIFA World Cup,Kansas City,United States,True,,1.0,1.0,1.8,0.75,2.4,0.6,2.55,1.05,,0.31043002,0.25833863,0.43123138,0.38118297,0.28613102,0.332686,Group F,Group F
2026-06-25,Ecuador,Germany,,,FIFA World Cup,East Rutherford,United States,True,,1.0,0.6,0.8,0.35,3.0,0.8,2.45,1.05,,0.31834784,0.3008196,0.38083255,0.3456747,0.14008217,0.5142431,Group E,Group E
2026-06-26,Egypt,Iran,,,FIFA World Cup,Seattle,United States,True,,1.4,0.6,1.25,0.65,1.6,0.4,1.9,0.7,,0.3389521,0.31080946,0.3502384,0.41023755,0.26045755,0.3293049,Group G,Group G
2026-06-26,New Zealand,Belgium,,,FIFA World Cup,Vancouver,Canada,True,,1.2,1.6,2.55,1.0,3.6,1.2,2.25,1.15,,0.29879156,0.22760944,0.47359905,0.33979744,0.2345798,0.4256227,Group G,Group G
2026-06-26,Cape Verde,Saudi Arabia,,,FIFA World Cup,Houston,United States,True,,1.4,1.2,1.25,0.95,0.6,1.8,1.1,1.15,,0.19439663,0.25039014,0.5552131,0.62777925,0.22036028,0.15186046,Group H,Group H
2026-06-26,Uruguay,Spain,,,FIFA World Cup,Zapopan,Mexico,True,,1.0,1.4,0.85,0.9,3.0,0.4,2.75,1.0,,0.39291146,0.30606404,0.30102447,0.32123697,0.30123276,0.3775303,Group H,Group H
2026-06-26,Norway,France,,,FIFA World Cup,Foxborough,United States,True,,2.0,1.0,2.95,0.9,2.8,0.8,2.0,1.0,,0.27208075,0.18452813,0.54339117,0.4377626,0.16497833,0.39725906,Group I,Group I
2026-06-26,Senegal,Iraq,,,FIFA World Cup,Toronto,Canada,True,,1.4,0.8,2.35,0.6,1.2,1.0,1.0,0.95,,0.18626013,0.2006445,0.61309534,0.6813839,0.16935082,0.14926529,Group I,Group I
2026-06-27,Algeria,Austria,,,FIFA World Cup,Kansas City,United States,True,,2.2,0.6,2.15,0.6,1.8,0.6,2.35,0.85,,0.24925196,0.2013534,0.54939467,0.5404462,0.19548903,0.2640648,Group J,Group J
2026-06-27,Panama,England,,,FIFA World Cup,East Rutherford,United States,True,,1.2,2.0,1.7,1.3,2.6,0.2,2.35,0.55,,0.50820464,0.28420478,0.20759052,0.16419603,0.24865207,0.58715194,Group L,Group L
2026-06-27,Jordan,Argentina,,,FIFA World Cup,Arlington,United States,True,,1.6,1.4,1.65,1.3,2.2,0.4,2.0,0.5,,0.46745545,0.28897357,0.24357097,0.22374384,0.3484989,0.4277572,Group J,Group J
2026-06-27,DR Congo,Uzbekistan,,,FIFA World Cup,Atlanta,United States,True,,1.4,0.4,1.45,0.55,1.4,0.6,1.35,0.65,,0.24871598,0.27729198,0.47399196,0.41183776,0.21609326,0.37206897,Group K,Group K
2026-06-27,Colombia,Portugal,,,FIFA World Cup,Miami Gardens,United States,True,,1.4,1.2,1.7,1.1,2.4,1.0,2.1,1.0,,0.3498929,0.27425796,0.37584916,0.3460563,0.3188425,0.33510116,Group K,Group K
2026-06-27,Croatia,Ghana,,,FIFA World Cup,Philadelphia,United States,True,,2.4,1.4,2.1,1.05,0.4,2.4,1.5,1.25,,0.14431146,0.1714583,0.6842302,0.768782,0.13554949,0.0956685,Group L,Group L
